1.186.101.79	1	1117542	1117542	33	1117542	12
1.186.103.240	1	11611	11611	7	11611	5
1.186.103.78	1	9001	9001	4	9001	4
1.186.108.213	1	112907	112907	2	112907	2
1.186.108.230	1	18815	18815	5	18815	5
1.186.108.242	1	2850	2850	3	2850	3
1.186.108.28	1	6080	6080	80	6080	80
1.186.108.29	1	4650	4650	3	4650	3
1.186.108.79	1	80	80	3	80	3
1.186.111.224	2	904913	782745	24	452456	18
1.186.112.12	1	200748	200748	3	200748	3
1.186.112.52	1	9552	9552	16	9552	16
1.186.114.135	1	108905	108905	4	108905	2
1.186.114.45	1	14533	14533	6	14533	6
1.186.117.150	1	0	0	1	0	1
1.186.128.57	1	50647	50647	9	50647	8
1.186.129.213	1	115942	115942	11	115942	6
1.186.135.123	1	68742	68742	15	68742	11
1.186.135.254	1	54977	54977	6	54977	5
1.186.138.134	1	2276	2276	2	2276	2
1.186.138.14	1	86616	86616	11	86616	9
1.186.142.40	1	35519	35519	2	35519	2
1.186.143.37	1	8538	8538	2	8538	2
1.186.144.110	1	12069	12069	2	12069	2
1.186.144.182	1	10839	10839	2	10839	2
1.186.145.111	1	70330	70330	7	70330	6
1.186.145.145	1	100420	100420	2	100420	2
1.186.145.39	1	9349	9349	7	9349	4
1.186.146.103	1	11269	11269	2	11269	2
1.186.146.211	1	0	0	1	0	1
1.186.146.89	1	113177	113177	10	113177	8
1.186.149.194	1	697963	697963	6	697963	6
1.186.154.240	1	15416	15416	2	15416	2
1.186.168.63	1	0	0	1	0	1
1.186.170.164	1	228933	228933	41	228933	17
1.186.179.175	1	257661	257661	34	257661	11
1.186.180.114	1	1726	1726	2	1726	2
1.186.180.154	1	7498	7498	4	7498	3
1.186.180.183	2	25392	25392	5	12696	5
1.186.183.166	1	570	570	3	570	3
1.186.186.119	1	6212	6212	5	6212	5
1.186.196.160	1	243757	243757	8	243757	5
1.186.196.211	1	12347	12347	3	12347	3
1.186.196.39	1	39235	39235	6	39235	5
1.186.196.5	1	69601	69601	3	69601	3
1.186.197.80	1	27029	27029	10	27029	9
1.186.198.106	1	147367	147367	14	147367	10
1.186.198.158	1	165579	165579	7	165579	7
1.186.198.95	1	6760	6760	3	6760	3
1.186.199.211	1	0	0	1	0	1
1.186.2.42	1	34368	34368	2	34368	2
1.186.203.58	1	17115	17115	3	17115	3
1.186.224.136	1	72334	72334	13	72334	10
1.186.224.199	1	0	0	1	0	1
1.186.224.24	1	1816	1816	3	1816	2
1.186.232.247	1	155790	155790	16	155790	14
1.186.232.55	1	0	0	1	0	1
1.186.233.109	1	191749	191749	12	191749	2
1.186.233.89	1	0	0	1	0	1
1.186.235.15	1	0	0	1	0	1
1.186.235.69	1	9381	9381	2	9381	2
1.186.240.27	1	4533	4533	2	4533	2
1.186.245.18	1	123	123	2	123	2
1.186.247.60	3	19726	9973	8	6575	6
1.186.248.29	2	363367	216868	61	181683	34
1.186.249.10	1	152401	152401	16	152401	14
1.186.249.237	1	409	409	3	409	3
1.186.250.45	1	9220	9220	2	9220	2
1.186.28.220	2	788965	788961	91	394482	86
1.186.32.38	3	5807	5807	6	1935	6
1.186.32.78	1	135602	135602	33	135602	31
1.186.33.19	1	13756	13756	4	13756	4
1.186.33.25	1	56029	56029	9	56029	8
1.186.34.10	1	1845	1845	79	1845	79
1.186.37.1	2	99344	98436	119	49672	84
1.186.37.11	2	266414	217775	22	133207	17
1.186.37.17	2	1020503	750806	30	510251	20
1.186.37.2	3	341475	190046	12	113825	9
1.186.37.20	1	967	967	2	967	2
1.186.37.25	4	680637	261983	53	170159	28
1.186.37.26	1	4998	4998	3	4998	3
1.186.37.28	1	206170	206170	60	206170	52
1.186.37.4	1	0	0	1	0	1
1.186.37.46	1	0	0	1	0	1
1.186.37.49	1	11885	11885	7	11885	6
1.186.37.5	2	10646	10488	12	5323	11
1.186.38.1	2	1461121	1461049	19	730560	16
1.186.38.10	1	2940	2940	11	2940	11
1.186.38.11	1	0	0	1	0	1
1.186.38.17	1	123788	123788	16	123788	11
1.186.38.18	1	28164	28164	4	28164	4
1.186.38.19	2	10294	10294	7	5147	6
1.186.38.2	1	11787	11787	3	11787	3
1.186.38.20	1	598767	598767	9	598767	8
1.186.38.25	2	334569	334569	5	167284	5
1.186.38.3	1	0	0	1	0	1
1.186.38.33	2	12717	12717	7	6358	6
1.186.38.34	1	4580	4580	3	4580	3
1.186.38.4	1	0	0	1	0	1
1.186.38.45	1	121189	121189	3	121189	3
1.186.38.49	2	18488	13468	7	9244	6
1.186.38.9	2	498	348	5	249	5
1.186.40.250	2	23639	18942	10	11819	7
1.186.41.1	2	227787	157970	13	113893	10
1.186.41.10	1	4206	4206	3	4206	3
1.186.41.12	1	0	0	1	0	1
1.186.41.17	1	169014	169014	13	169014	8
1.186.41.19	2	13561	13561	13	6780	7
